[Wed Apr 20 14:25:38.895678 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  11. YOOtheme\\Application::YOOtheme\\{closure:/home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/theme-cookie/bootstrap.php:8-10}() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/theme-wordpress/src/ThemeLoader.php:47, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.895685 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  12. YOOtheme\\Configuration\\Configuration->loadFile() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/theme-cookie/bootstrap.php:9, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.895692 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  13. YOOtheme\\Configuration\\Resolver->loadFile() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Configuration.php:109, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.895698 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  14. YOOtheme\\Configuration\\Resolver->loadJsonFile() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Resolver.php:193, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.895704 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  15. YOOtheme\\Configuration\\Resolver->writeCacheFile() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Resolver.php:257, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.895710 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP  16. file_put_contents() /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Resolver.php:281, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.896499 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP Warning:  file_put_contents(/home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/cache/temp-09499085625fedb2dabea): failed to open stream: Permission denied in /home/pc2/vhosts/solarcraft.local/wp-content/themes/yootheme/vendor/yootheme/configuration/src/Configuration/Resolver.php on line 281, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.896511 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP Stack trace:, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.896517 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   1. {main}() /home/pc2/vhosts/solarcraft.local/wp-admin/admin-ajax.php:0, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
[Wed Apr 20 14:25:38.896523 2022] [php7:notice] [pid 231073] [client 127.0.0.1:46222] PHP   2. require_once() /home/pc2/vhosts/solarcraft.local/wp-admin/admin-ajax.php:22, referer: http://solarcraft.local/wp-admin/admin.php?page=duplicator-tools&tab=diagnostics&sm=0&action=installer
